benchmark,blocks,metric,reference,median_ratio,mad,ci95_low,ci95_high,passes_1p5pct_nonregression,improvement_exceeds_3mad
call-strict-method-noarguments-missing-one-arg-1m.js,15,instructions,guard,0.997870564,0.000019181,0.997829959,0.997888907,yes,yes
call-strict-missing-one-arg-10m.js,15,cycles,dual,1.001415283,0.010032600,0.998346449,1.007676955,yes,no
call-strict-missing-one-arg-10m.js,15,cycles,guard,1.000950599,0.006917728,0.995229274,1.008453972,yes,no
call-strict-missing-one-arg-10m.js,15,instructions,dual,0.997493015,0.000007139,0.997486310,0.997503255,yes,yes
call-strict-missing-one-arg-10m.js,15,instructions,guard,0.997497948,0.000005429,0.997496122,0.997503633,yes,yes
call-strict-primitive-method-zero-arg-5m.js,15,cycles,dual,0.994137301,0.001658928,0.992808555,0.996994046,yes,yes
call-strict-primitive-method-zero-arg-5m.js,15,cycles,guard,0.993354093,0.002349867,0.991004226,0.996639994,yes,no
call-strict-primitive-method-zero-arg-5m.js,15,instructions,dual,0.997948630,0.000012312,0.997945767,0.997971434,yes,yes
call-strict-primitive-method-zero-arg-5m.js,15,instructions,guard,0.997957431,0.000008913,0.997947926,0.997964343,yes,yes
call-strict-primitive-this-zero-arg-5m.js,15,cycles,dual,1.001158881,0.002919707,0.988023633,1.002612270,yes,no
call-strict-primitive-this-zero-arg-5m.js,15,cycles,guard,1.004314812,0.001130016,1.003802190,1.005981607,yes,no
call-strict-primitive-this-zero-arg-5m.js,15,instructions,dual,0.998730121,0.000002864,0.998727257,0.998732949,yes,yes
call-strict-primitive-this-zero-arg-5m.js,15,instructions,guard,0.998732777,0.000006554,0.998726222,0.998743716,yes,yes
call-strict-zero-arg-10m.js,15,cycles,dual,0.994536134,0.005123202,0.990680087,0.999659336,yes,no
call-strict-zero-arg-10m.js,15,cycles,guard,0.994453455,0.004745378,0.989708077,1.005377844,yes,no
call-strict-zero-arg-10m.js,15,instructions,dual,0.997212515,0.000007615,0.997203836,0.997216930,yes,yes
call-strict-zero-arg-10m.js,15,instructions,guard,0.997220382,0.000008746,0.997206561,0.997224664,yes,yes
call-zero-one-arg-10m.js,15,cycles,dual,0.990852492,0.003048012,0.987143248,0.992984859,yes,yes
call-zero-one-arg-10m.js,15,cycles,guard,0.988953458,0.002164378,0.984788033,0.991117836,yes,yes
call-zero-one-arg-10m.js,15,instructions,dual,0.997313658,0.000005439,0.997311072,0.997319867,yes,yes
call-zero-one-arg-10m.js,15,instructions,guard,0.997326599,0.000006300,0.997316728,0.997330898,yes,yes
fib30x3.js,15,cycles,dual,1.001958197,0.002307247,0.999294795,1.003972032,yes,no
fib30x3.js,15,cycles,guard,0.941056529,0.003649066,0.937407462,0.945242081,yes,yes
fib30x3.js,15,instructions,dual,0.996826255,0.000013155,0.996813098,0.996832425,yes,yes
fib30x3.js,15,instructions,guard,0.933732824,0.000009588,0.933730388,0.933742412,yes,yes
