benchmark,block,position,binary,instructions,cycles,output_sha256
call-add-two-arg-10m.js,6,5,dual,8015723967,1248017317,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,6,6,guard,8167232997,1273839509,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,7,1,guard,8167305382,1276641820,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,7,2,dual,8015958275,1246764296,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,7,3,candidate,7995929437,1253474972,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,7,4,candidate,7996011470,1247187403,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,7,5,dual,8015907240,1248555496,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,7,6,guard,8167139142,1273634643,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,8,1,guard,8167211496,1275126949,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,8,2,dual,8015838703,1247444712,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,8,3,candidate,7995886006,1248559622,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,8,4,candidate,7996020983,1319111404,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,8,5,dual,8015887312,1252272657,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,8,6,guard,8167165522,1273809699,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,9,1,guard,8167114730,1272679648,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,9,2,dual,8015910618,1251460630,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,9,3,candidate,7995985041,1253839308,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,9,4,candidate,7995839134,1251254021,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,9,5,dual,8015750001,1255408594,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,9,6,guard,8167348745,1276462856,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,10,1,guard,8167127423,1277905537,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,10,2,dual,8015742745,1252177814,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,10,3,candidate,7995804286,1250275416,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,10,4,candidate,7995935210,1250037774,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,10,5,dual,8015878841,1256366593,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,10,6,guard,8167073537,1275919598,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,11,1,guard,8167141782,1276061464,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,11,2,dual,8015813006,1249458229,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,11,3,candidate,7995866031,1248848551,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,11,4,candidate,7995874178,1246273144,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,11,5,dual,8015869185,1252689240,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,11,6,guard,8167184150,1274874256,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,12,1,guard,8167047456,1272621374,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,12,2,dual,8015870520,1248701647,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,12,3,candidate,7995878440,1249757487,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,12,4,candidate,7995875691,1251534853,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,12,5,dual,8015878266,1248627481,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,12,6,guard,8167194617,1276743754,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,13,1,guard,8167203777,1282288836,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,13,2,dual,8015911108,1252206332,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,13,3,candidate,7995892980,1251323701,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,13,4,candidate,7995985461,1256983117,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,13,5,dual,8015825427,1252229410,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,13,6,guard,8167176944,1276570681,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,14,1,guard,8167211886,1277559953,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,14,2,dual,8015822929,1249916946,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,14,3,candidate,7995866995,1251432734,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,14,4,candidate,7995709728,1248306790,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,14,5,dual,8015855519,1249067817,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,14,6,guard,8167242827,1273075510,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,15,1,guard,8167193688,1278659644,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,15,2,dual,8015909142,1252049696,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,15,3,candidate,7996022214,1252792981,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,15,4,candidate,7995996513,1253637653,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,15,5,dual,8016026959,1336032760,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-add-two-arg-10m.js,15,6,guard,8167103246,1278092786,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,1,1,guard,9876555821,1503716264,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,1,2,dual,9725410934,1493578082,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,1,3,candidate,9705351944,1488683617,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,1,4,candidate,9705248433,1487216369,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,1,5,dual,9725241971,1491913559,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,1,6,guard,9876690367,1502551608,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,2,1,guard,9876619129,1501369307,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,2,2,dual,9725306267,1494479275,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,2,3,candidate,9705339136,1488041274,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,2,4,candidate,9705471883,1481825439,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,2,5,dual,9725474185,1497249571,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,2,6,guard,9876689853,1502035968,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,3,1,guard,9876710424,1508311137,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
call-closure-two-arg-10m.js,3,2,dual,9725394926,1500069437,eafaccb921179b51e3f61ee8c8456e9bc1a20f7c33f74ec040a8596de244eb2e
