engine,case,sample,instructions,cycles,task_clock_ms
before,C2_reduce8,4,33183607769,6235907771,1599048544.000
before,C1_foreach8,4,25068572415,4836951423,1240355024.000
before,N7_fapply,4,33367878809,6351910135,1628831808.000
before,N6_fcall,4,23886950100,3826551802,981230528.000
before,N5_push_pop,4,23564307545,4782199784,1225793472.000
before,N4_hasown_string,4,33764221051,6278044882,1609899872.000
before,N3d_codepointat,4,29702985675,5261437960,1349167728.000
before,N3c_at,4,46660789948,7677358926,1968695184.000
before,N3b_charat,4,69725280910,13256665189,3399371200.000
before,N3_charcodeat,4,27652397130,5026955640,1289045360.000
before,N2_max3_variadic,4,21011621608,3401319956,872190112.000
before,N1m_abs_method,4,15260079159,2724002868,698507536.000
before,N1_abs_hoisted,4,12808164876,1907214495,489063264.000
before,ctrl,4,10152270052,1801182857,461873248.000
before,empty,4,2910994,2331434,600448.000
