engine,case,sample,instructions,cycles,task_clock_ms
v8,C2_reduce8,3,14028274907,2400715296,615652528.000
v8,C3_map8,3,15558249914,2466567339,632545568.000
v8,C4_sort8,3,10541911537,1670860462,428499328.000
v8,C5_replace_fn,3,10767961171,1993137235,511190352.000
jsc,empty,3,14052908,10023716,2574048.000
jsc,ctrl,3,5866796746,876660678,224808192.000
jsc,N1_abs_hoisted,3,15671457763,2721535773,697882080.000
jsc,N1m_abs_method,3,21123270658,3654407652,937093024.000
jsc,N2_max3_variadic,3,19872873540,3323175835,852161488.000
jsc,N3_charcodeat,3,20616308163,3489466407,894795072.000
jsc,N4_hasown_string,3,21672973532,3768211220,966273040.000
jsc,N5_push_pop,3,16146096821,2857001227,732614848.000
jsc,N6_fcall,3,10794128062,1893913044,485656480.000
jsc,N7_fapply,3,24474106523,4078381693,1045808432.000
jsc,C1_foreach8,3,39336617484,6188194747,1586826512.000
jsc,C2_reduce8,3,36103257568,5715856153,1465809536.000
jsc,C3_map8,3,39822465608,7069209367,1812896544.000
jsc,C4_sort8,3,6055945709,1081953666,277487632.000
jsc,C5_replace_fn,3,12476282991,2611834817,669854112.000
jsc,C5_replace_fn,4,12489179982,2651573393,680019872.000
jsc,C4_sort8,4,6055672615,1086303264,278564576.000
jsc,C3_map8,4,39821739465,7075425922,1814507696.000
jsc,C2_reduce8,4,36103579412,5732532063,1469984656.000
jsc,C1_foreach8,4,39337944103,6170110451,1582269776.000
jsc,N7_fapply,4,24474663687,4074700530,1044877248.000
jsc,N6_fcall,4,10794247794,1875294144,480884080.000
jsc,N5_push_pop,4,16147078699,2917208077,748059120.000
jsc,N4_hasown_string,4,21674173061,3761076150,964451360.000
jsc,N3_charcodeat,4,20617003359,3468008937,889308032.000
jsc,N2_max3_variadic,4,19872667514,3319564612,851229264.000
jsc,N1m_abs_method,4,21123213809,3662082464,939059472.000
jsc,N1_abs_hoisted,4,15671392779,2708906454,694638960.000
jsc,ctrl,4,5866828756,877473075,225014656.000
jsc,empty,4,14042680,9184135,2358384.000
v8,C5_replace_fn,4,10768448498,1979495309,507688704.000
v8,C4_sort8,4,10541744382,1677073357,430157136.000
v8,C3_map8,4,15559169621,2481084759,636269264.000
v8,C2_reduce8,4,14028550063,2417669386,620007216.000
v8,C1_foreach8,4,20323920970,3474092631,890985392.000
v8,N7_fapply,4,23183158206,3386925223,868549328.000
v8,N6_fcall,4,16605660239,2553000901,654724656.000
v8,N5_push_pop,4,29732812015,4800574933,1231394640.000
v8,N4_hasown_string,4,28683601484,3996225687,1024801632.000
v8,N3_charcodeat,4,27814219489,3925672373,1006692368.000
v8,N2_max3_variadic,4,26381867481,3774056630,967836144.000
v8,N1m_abs_method,4,24134034789,3607072566,924999440.000
v8,N1_abs_hoisted,4,18928577642,2868267068,735554576.000
v8,ctrl,4,13428767544,1914948378,491098688.000
v8,empty,4,51585849,39725853,10238464.000
hermes,C5_replace_fn,4,24523467669,4887580063,1253319488.000
hermes,C4_sort8,4,26287024197,4352173861,1116018672.000
hermes,C3_map8,4,24531152462,4340690992,1113079408.000
hermes,C2_reduce8,4,21792392469,3784241092,970380944.000
hermes,C1_foreach8,4,23142645713,4089164051,1048580144.000
