binary,case,sample,instructions,cycles,task_clock_ns
qjs,K1_length_array,8,8846628281,1556764266,399201008
qjs,J_instanceof,8,9816502105,1547023657,396711280
qjs,I_proto_method,8,7086675476,1550884617,397693264
qjs,H2_prop_write,8,11047122174,1746006335,447734336
qjs,H1_prop_read,8,8846827706,1653520269,424012720
qjs,G_raytrace_ctor,8,8070269462,1437630651,368657504
qjs,F_simple_ctor,8,9631717049,1617732427,414838496
qjs,E4_arguments_fourarg,8,10212086471,1817614986,466089856
qjs,E2_arguments_index,8,8231308491,1488211545,381622960
qjs,E1_arguments_length,8,8066305554,1472036607,377473200
qjs,E0_arguments_zeroarg,8,5285029560,953574068,244525792
qjs,D_apply_arguments,8,8213882757,1501445010,385014192
qjs,C2_apply_array_hoisted,8,9834550518,1581115108,405450208
qjs,C_apply_array_literal,8,10248678459,1630005339,417985712
qjs,B_method_call,8,11332355064,1877129584,481352704
qjs,A2_direct_call_ret,8,11182281140,1820291108,466782736
qjs,A_direct_call,8,11767008665,1786772418,458183216
qjs,ctrl,8,20412432877,3719259842,953721616
qjs,empty,8,2296960,1614748,416064
zjs,L4p_generic_ctor_shadowing,8,25778176590,4145075601,1062927104
zjs,L4_generic_ctor,8,25973442458,4163225497,1067571792
zjs,M3_poly_read,8,12689642251,2162433284,554520848
zjs,M2_chain_read,8,3885550898,932549672,239135456
zjs,L3p_ctor_shadowing,8,26093693119,4239899125,1087233952
zjs,M1_proto_data_read,8,8927112241,1440791869,369462992
zjs,L3_ctor_threeprops,8,13843157357,2071783750,531264432
zjs,L0_ctor_noprops,8,8796946773,1585320076,406523216
zjs,K2_length_plain,8,9167308113,1568416614,402189472
zjs,K1_length_array,8,8446896263,1407940618,361040160
zjs,J_instanceof,8,14455401485,2781343977,713214640
zjs,I_proto_method,8,9199708971,1772579678,454546880
zjs,H2_prop_write,8,10447595319,1507731928,386629552
zjs,H1_prop_read,8,8166793732,1284443244,329370560
zjs,G_raytrace_ctor,8,15340056618,2972303114,762180464
zjs,F_simple_ctor,8,11557102381,1749136473,448527952
zjs,E4_arguments_fourarg,8,17560194955,3016905652,773623664
zjs,E2_arguments_index,8,14223779627,2435494265,624529840
zjs,E1_arguments_length,8,13128098236,2164065840,554926912
zjs,E0_arguments_zeroarg,8,8286221647,1328774958,340738784
zjs,D_apply_arguments,8,13273748389,2467888920,632836608
zjs,C2_apply_array_hoisted,8,13040741567,2456629621,629949392
zjs,C_apply_array_literal,8,13190776690,2416045779,619543680
zjs,B_method_call,8,12958846580,2256877155,578728976
zjs,A2_direct_call_ret,8,12058178705,2055301348,527041024
zjs,A_direct_call,8,13118580788,2193736920,562537040
zjs,ctrl,8,18213389473,3078307867,789365840
zjs,empty,8,2446459,1841794,474288
